Razao Social;Fundo;Segmento;Codigo
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V;FII VOTP V;;VTPA;
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII;FII VOTP XII;;VTXI;
FDO.INVEST. IMOB. MULTI RENDA URBANA;FII MULT REN;;HBRH;
FII IRIDIUM RECEB�VEIS IMOBILI�RIOS;FII IRIDIUM;;IRDM;
FRAM CAPITAL SBCLOG FDO. INV. IMOB.;FII SBCLOG;;SBCL;
FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILI�RIO;FII FRONT;;FRHY;
FUND. INVEST. IMOB. SUCCESPAR VAREJO;FII S VAREJO;;SPVJ;
FUNDO DE FDO INV IMOB KINEA FII;FII KINEAFOF;;KFOF;
FUNDO DE INVEST IMOB OURINVEST RENDA ESTRUTURADA;FII OU RENDA;;OURE;
FUNDO DE INVESTIMENTO IMOBILI�RIO - BLUE RECEB�VEI;FII BLUE REC;;BLUR;
FUNDO DE INVESTIMENTO IMOBILI�RIO - DEVELOPMENT V1;FII DEV ONE;;LKDV;
FUNDO DE INVESTIMENTO IMOBILI�RIO - FII RBR DESENV;FII RBR III;;RBRI;
FUNDO DE INVESTIMENTO IMOBILI�RIO - SPX SYN MULT;FII SPX SYN;;SPXS;
FUNDO DE INVESTIMENTO IMOBILI�RIO ATHENA I;FII ATHENA I;;FATN;
FUNDO DE INVESTIMENTO IMOBILI�RIO BRL PROP II;FII BRLPROII;;BRLA;
FUNDO DE INVESTIMENTO IMOBILI�RIO CAIXA AG�NCIAS;FII CAIXA AG;;CXAG;
FUNDO DE INVESTIMENTO IMOBILI�RIO HBC RENDA URBANA;FII HBC REN;;HBCR;
FUNDO DE INVESTIMENTO IMOBILI�RIO MINT EDUCACIONAL;FII MINT EDU;;MINT;
FUNDO DE INVESTIMENTO IMOBILI�RIO RIZA TERRAX;FII RIZA TX;;RZTR;
FUNDO DE INVESTIMENTO IMOBILI�RIO ROOFTOP I;FII ROOFTOPI;;ROOF;
G5 CIDADE NOVA FDO. INVEST. IMOB.;FII TOUR V;;TCIN;
GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.;FII GALAPAGO;;GCFF;
GALAPAGOS RECEB�VEIS IMOBILI�RIOS - FDO. INV. IMOB;FII GLPG CRI;;GCRI;
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILI�RIO;FII GAZIT;;GZIT;
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI;FII GENERAL;;GSFI;
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INV, IMOB.;FII GEN SHOP;;FIGS;
GENIAL RENDA URBANA FDO DE INV IMOB;FII PLUR URB;;GURB;
GGR COVEPI RENDA FDO INV IMOB;FII GGRCOVEP;;GGRC;
GRUPO RCFA FDO INV IMOB;FII GP RCFA;;RCFA;
GTIS BRAZIL LOGISTICS FDO. INV. IMOB.;FII GTIS LG;;GTLG;
GUARDIAN LOGISTICA FDO. INVEST. IMOB.;FII GUARDIAN;;GALG;
HABITAT II - FDO INV IMOB;FII HABIT II;;HABT;
HAZ FDO INV IMOB - FII;FII HAZ;;ATCR;
HECTARE CE - FDO INV IMOB;FII HECTARE;;HCTR;
HECTARE DESENV. STUDENT HOUSING - FDO. INV. IMOB.;FII HECT DES;;HCST;
HECTARE PROPERTIES FDO DE INV IMOB - FII;FII HECT PRP;;HCPR;
HECTARE RECEB�VEIS HIGH GRADE FDO. INV. IMOB.;FII HECT CRI;;HCHG;
HEDGE AAA FDO. INV. IMOB.;FII HEDGEAAA;;HAAA;
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB;FII HATRIUM;;ATSA;
HEDGE BRASIL SHOPPING FDO INV IMOB;FII HEDGEBS;;HGBS;
HEDGE DESENVOLVIMENTO LOG�STICO FDO INV IMOB;FII HEDGE DV;;HDEL;
HEDGE LOG�STICA FDO. INV. IMOB.;FII HEDGELOG;;HLOG;
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOB.;FII R INCOME;;RBCO;
HEDGE PALADIN DESIGN OFFICES FDO INV IMOB;FII HEDGE OF;;HDOF;
HEDGE REALTY DEVELOPMENT FDO INV IMOB;FII HREALTY;;HRDF;
HEDGE RECEBIVEIS IMOB. FUNDO DE INVST. IMOB.;FII HEDGEREC;;HREC;
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILI�RIO;FII HEDGE SD;;SEED;
HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.;FII HEDGEPDP;;HPDP;
HEDGE TOP FOFII 3 FDO INV IMOB;FII HTOPFOF3;;HFOF;
HGI CR�DITOS IMOBILI�RIOS FDO. INV. IMOB.;FII HGI CRI;;HGIC;
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI;FII HSI CRI;;HSAF;
HSI LOG�STICA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII HSI LOG;;HSLG;
HSI MALL FDO INV IMOB;FII HSI MALL;;HSML;
HSI RENDA IMOB FDO INV IMOB;FII HSIRENDA;;HSRE;
HUSI FDO INV. IMOB.;FII HUSI;;HUSI;
INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO;FII INTER IP;;ITIP;
INTER T�TULOS IMOB. FDO INV. IMOB.;FII INTER;;BICR;
IRIDIUM FUNDO DE INVESTIMENTO IMOBILI�RIO;FII IRIM;;IRIM;
JACARAND� 02 FUNDO DE INVESTIMENTO IMOBILI�RIO FII;FII JCDB 02;;JCDB;
JACARAND� I FUNDO DE INVESTIMENTO IMOBILI�RIO -FII;FII JCDA I;;JCDA;
JBFO FOF FDO INV. IMOB.;FII JBFO FOF;;JBFO;
JFDCAM FUNDO DE INVESTIMENTO IMOBILI�RIO FII;FII JFDCAM;;VJFD;
JFL LIVING FDO. INV. IMOB.;FII JFL LIV;;JFLL;
JPP CAPITAL FDO INV IMOB - FII;FII JPP CAPI;;JPPC;
